date,latitude,longitude,NO2_column_density_mol_m2
2026-08-25,25.63263888888889,66.67728174603175,1.9638292e-05
2026-08-25,25.63263888888889,66.73184523809523,1.7226477e-05
2026-08-25,25.63263888888889,66.78640873015871,1.4627708e-05
2026-08-25,25.63263888888889,66.84097222222219,2.161894e-05
2026-08-25,25.63263888888889,66.89553571428567,1.931713e-05
2026-08-25,25.63263888888889,66.95009920634917,2.2465008e-05
2026-08-25,25.63263888888889,67.00466269841264,1.7657481e-05
2026-08-25,25.63263888888889,67.05922619047612,1.9414088e-05
2026-08-25,25.63263888888889,67.1137896825396,1.9414088e-05
2026-08-25,25.63263888888889,67.1683531746031,2.4012583e-05
2026-08-25,25.63263888888889,67.22291666666658,2.3452581e-05
2026-08-25,25.63263888888889,67.27748015873006,2.6162506e-05
2026-08-25,25.63263888888889,67.33204365079354,2.0241481e-05
2026-08-25,25.63263888888889,67.38660714285703,1.6408827e-05
2026-08-25,25.63263888888889,67.44117063492051,2.2723243e-05
2026-08-25,25.63263888888889,67.49573412698399,2.513357e-05
2026-08-25,25.63263888888889,67.55029761904747,1.7947597e-05
2026-08-25,25.63263888888889,67.60486111111095,2.6214737e-05
2026-08-25,25.597916666666674,66.67728174603175,2.37914e-05
2026-08-25,25.597916666666674,66.73184523809523,1.7226477e-05
2026-08-25,25.597916666666674,66.78640873015871,1.8918361e-05
2026-08-25,25.597916666666674,66.84097222222219,1.8918361e-05
2026-08-25,25.597916666666674,66.89553571428567,1.931713e-05
2026-08-25,25.597916666666674,66.95009920634917,1.7584978e-05
2026-08-25,25.597916666666674,67.00466269841264,1.7657481e-05
2026-08-25,25.597916666666674,67.05922619047612,1.3305988e-05
2026-08-25,25.597916666666674,67.1137896825396,1.3305988e-05
2026-08-25,25.597916666666674,67.1683531746031,2.4012583e-05
2026-08-25,25.597916666666674,67.22291666666658,2.6442696e-05
2026-08-25,25.597916666666674,67.27748015873006,1.483691e-05
2026-08-25,25.597916666666674,67.33204365079354,2.0241481e-05
2026-08-25,25.597916666666674,67.38660714285703,1.7610262e-05
2026-08-25,25.597916666666674,67.44117063492051,2.2723243e-05
2026-08-25,25.597916666666674,67.49573412698399,2.7674341e-05
2026-08-25,25.597916666666674,67.55029761904747,2.6624386e-05
2026-08-25,25.597916666666674,67.60486111111095,2.6214737e-05
2026-08-25,25.56319444444446,66.67728174603175,2.3261588e-05
2026-08-25,25.56319444444446,66.73184523809523,1.3392014e-05
2026-08-25,25.56319444444446,66.78640873015871,1.3392014e-05
2026-08-25,25.56319444444446,66.84097222222219,2.2061846e-05
2026-08-25,25.56319444444446,66.89553571428567,2.0018484e-05
2026-08-25,25.56319444444446,66.95009920634917,1.7584978e-05
2026-08-25,25.56319444444446,67.00466269841264,2.2098273e-05
2026-08-25,25.56319444444446,67.05922619047612,2.2098273e-05
2026-08-25,25.56319444444446,67.1137896825396,2.2265234e-05
2026-08-25,25.56319444444446,67.1683531746031,2.1607551e-05
2026-08-25,25.56319444444446,67.22291666666658,2.6442696e-05
2026-08-25,25.56319444444446,67.27748015873006,1.6117003e-05
2026-08-25,25.56319444444446,67.33204365079354,1.6117003e-05
2026-08-25,25.56319444444446,67.38660714285703,1.7610262e-05
2026-08-25,25.56319444444446,67.44117063492051,2.2872224e-05
2026-08-25,25.56319444444446,67.49573412698399,2.7674341e-05
2026-08-25,25.56319444444446,67.55029761904747,1.9415977e-05
2026-08-25,25.56319444444446,67.60486111111095,2.3010278e-05
2026-08-25,25.52847222222224,66.67728174603175,2.3261588e-05
2026-08-25,25.52847222222224,66.73184523809523,1.4961358e-05
2026-08-25,25.52847222222224,66.78640873015871,1.4961358e-05
2026-08-25,25.52847222222224,66.84097222222219,2.2061846e-05
2026-08-25,25.52847222222224,66.89553571428567,2.2263705e-05
2026-08-25,25.52847222222224,66.95009920634917,2.2247743e-05
2026-08-25,25.52847222222224,67.00466269841264,2.2247743e-05
2026-08-25,25.52847222222224,67.05922619047612,2.1520045e-05
2026-08-25,25.52847222222224,67.1137896825396,2.2265234e-05
2026-08-25,25.52847222222224,67.1683531746031,2.0732832e-05
2026-08-25,25.52847222222224,67.22291666666658,2.6414955e-05
2026-08-25,25.52847222222224,67.27748015873006,2.6414955e-05
2026-08-25,25.52847222222224,67.33204365079354,1.4280363e-05
2026-08-25,25.52847222222224,67.38660714285703,1.896282e-05
2026-08-25,25.52847222222224,67.44117063492051,2.1113228e-05
2026-08-25,25.52847222222224,67.49573412698399,2.316801e-05
2026-08-25,25.52847222222224,67.55029761904747,1.9415977e-05
2026-08-25,25.52847222222224,67.60486111111095,2.4373621e-05
2026-08-25,25.493750000000027,66.67728174603175,1.8280634e-05
2026-08-25,25.493750000000027,66.73184523809523,1.8280634e-05
