column,min,max,mean,std_sample,variance_sample,skewness,kurtosis_fisher,sum,no_missing,no_nans,no_pos_inf,no_neg_inf,median,row_count
co,0.0235935654491186,0.0470696489929276,0.03286584986650266,0.003382704338658044,1.1442688642775957e-05,0.8422774721670818,1.5609702914479127,11.700242552474947,10,10,0,0,0.0324354298486969,366
no2,8.450126644340972e-06,0.0001258089074116,4.340905172697525e-05,2.5268736166653867e-05,6.385090274599612e-10,1.0531688788384839,0.3670573429160626,0.01562725862171109,6,6,0,0,3.508146912555065e-05,366
o3,0.1074233463463874,0.146711673014439,0.12518355708178777,0.006938534066075201,4.814325498608606e-05,-0.4473869256148645,-0.4691771819989903,45.31644766360717,4,4,0,0,0.1261536510947805,366
so2,-0.0002248473902,0.0003955958580803,3.723898975771015e-05,6.986889174204528e-05,4.881662033261642e-09,0.7401253706607626,3.2439131856122736,0.013033646415198552,16,16,0,0,3.094859137659201e-05,366
