date,feature_index,CO
2025-08-25T00:00:00.000Z,0,0.034114903731255974
2025-08-26T00:00:00.000Z,0,0.03300969183792864
2025-08-27T00:00:00.000Z,0,0.03489278819310526
2025-08-24T00:00:00.000Z,0,0.03265852387994528
2025-08-23T00:00:00.000Z,0,
2025-09-20T00:00:00.000Z,0,0.030368085609565318
2025-09-16T00:00:00.000Z,0,0.033978749257255726
2025-09-18T00:00:00.000Z,0,0.0311621411605493
2025-09-15T00:00:00.000Z,0,0.03495661166629621
2025-09-14T00:00:00.000Z,0,0.03102980171856673
2025-09-19T00:00:00.000Z,0,0.03393876782133126
2025-09-13T00:00:00.000Z,0,0.0301921266455983
2025-09-17T00:00:00.000Z,0,0.031395988031587704
2025-10-27T00:00:00.000Z,0,0.03618668537613348
2025-10-23T00:00:00.000Z,0,0.0338266956812096
2025-10-29T00:00:00.000Z,0,0.03544401684168564
2025-10-26T00:00:00.000Z,0,0.03857640254716932
2025-10-28T00:00:00.000Z,0,0.03869181863571468
2025-10-30T00:00:00.000Z,0,0.036104917988296625
2025-10-25T00:00:00.000Z,0,0.03837794279679656
2025-10-24T00:00:00.000Z,0,0.03510838289678629
2025-12-04T00:00:00.000Z,0,0.034167797480156456
2025-12-05T00:00:00.000Z,0,0.033091048470301795
2025-12-02T00:00:00.000Z,0,0.02971050038787664
2025-12-06T00:00:00.000Z,0,0.033387309583750635
2025-12-09T00:00:00.000Z,0,0.0314116561123745
2025-12-08T00:00:00.000Z,0,0.033129395335472586
2025-12-03T00:00:00.000Z,0,0.029773446496414103
2025-12-07T00:00:00.000Z,0,0.03339274727536001
2025-12-19T00:00:00.000Z,0,0.03499095711510542
2025-12-23T00:00:00.000Z,0,0.03445666479639524
2025-12-18T00:00:00.000Z,0,
2025-12-25T00:00:00.000Z,0,0.033368281275033954
2025-12-21T00:00:00.000Z,0,0.033746578368461795
2025-12-24T00:00:00.000Z,0,0.03394673640009748
2025-12-20T00:00:00.000Z,0,0.041229731092850365
2025-12-22T00:00:00.000Z,0,0.034018369630069996
2026-02-03T00:00:00.000Z,0,0.03537439697078968
2026-02-01T00:00:00.000Z,0,0.03369689642914109
2026-01-31T00:00:00.000Z,0,0.03422536143074626
2026-01-28T00:00:00.000Z,0,0.030856187631272607
2026-01-29T00:00:00.000Z,0,0.034990872123411725
2026-02-02T00:00:00.000Z,0,0.03536873775495527
2026-01-27T00:00:00.000Z,0,0.03199370111691656
2026-01-30T00:00:00.000Z,0,0.034563634613597835
2026-04-16T00:00:00.000Z,0,0.027553487399762325
2026-04-13T00:00:00.000Z,0,0.02966631921081562
